Blood Group,Hemoglobin Level,Disease,Healthy Tips
A+,12.5,Heart Disease,"Avoid saturated fats and cholesterol. Exercise regularly and monitor blood pressure."
A+,13.0,Lung Disease,"Avoid smoking and air pollution. Practice breathing exercises and stay hydrated."
A+,11.8,Kidney Disease,"Limit salt and protein intake. Stay hydrated and avoid NSAIDs."
A+,14.2,Cancer/Malignant Disease,"Maintain a healthy diet rich in antioxidants. Avoid tobacco and alcohol."
A+,12.0,Epilepsy,"Take prescribed medications regularly. Avoid triggers like stress and lack of sleep."
A+,13.5,Diabetes,"Monitor blood sugar levels. Avoid sugary foods and exercise regularly."
A+,12.8,Tuberculosis,"Complete the prescribed antibiotic course. Maintain good hygiene and nutrition."
A+,11.5,Abnormal Bleeding Tendency,"Avoid blood-thinning medications. Include vitamin K-rich foods like spinach."
A+,13.2,Hepatitis B/C,"Avoid alcohol and fatty foods. Get vaccinated and follow medical advice."
A+,12.3,Allergic Disease,"Identify and avoid allergens. Use antihistamines as prescribed."
A+,14.0,Jaundice,"Stay hydrated and avoid fatty foods. Get adequate rest and follow medical advice."
A+,13.8,Sexually Transmitted Disease,"Practice safe sex and get regular check-ups. Follow prescribed treatments."
A+,12.7,Malaria,"Use mosquito nets and repellents. Take antimalarial medications as prescribed."
A+,13.1,Typhoid,"Drink clean water and maintain hygiene. Complete the antibiotic course."
A+,11.9,Fainting Spells,"Stay hydrated and avoid standing for long periods. Eat small, frequent meals."
A-,12.0,Heart Disease,"Avoid trans fats and processed foods. Exercise regularly and manage stress."
A-,13.5,Lung Disease,"Avoid smoking and secondhand smoke. Practice deep breathing exercises."
A-,11.7,Kidney Disease,"Limit potassium and phosphorus intake. Stay hydrated and avoid NSAIDs."
A-,14.0,Cancer/Malignant Disease,"Eat a diet rich in fruits and vegetables. Avoid processed meats."
A-,12.5,Epilepsy,"Take medications as prescribed. Avoid flashing lights and stress."
A-,13.2,Diabetes,"Monitor blood sugar levels. Avoid refined carbs and exercise regularly."
A-,12.3,Tuberculosis,"Complete the antibiotic course. Maintain good hygiene and nutrition."
A-,11.8,Abnormal Bleeding Tendency,"Avoid blood-thinning medications. Include vitamin K-rich foods."
A-,13.0,Hepatitis B/C,"Avoid alcohol and fatty foods. Follow medical advice and get vaccinated."
A-,12.2,Allergic Disease,"Identify and avoid allergens. Use antihistamines as prescribed."
A-,13.7,Jaundice,"Stay hydrated and avoid fatty foods. Get adequate rest and follow medical advice."
A-,13.3,Sexually Transmitted Disease,"Practice safe sex and get regular check-ups. Follow prescribed treatments."
A-,12.6,Malaria,"Use mosquito nets and repellents. Take antimalarial medications as prescribed."
A-,13.4,Typhoid,"Drink clean water and maintain hygiene. Complete the antibiotic course."
A-,11.6,Fainting Spells,"Stay hydrated and avoid standing for long periods. Eat small, frequent meals."
B+,12.8,Heart Disease,"Avoid saturated fats and cholesterol. Exercise regularly and monitor blood pressure."
B+,13.2,Lung Disease,"Avoid smoking and air pollution. Practice breathing exercises and stay hydrated."
B+,11.9,Kidney Disease,"Limit salt and protein intake. Stay hydrated and avoid NSAIDs."
B+,14.5,Cancer/Malignant Disease,"Maintain a healthy diet rich in antioxidants. Avoid tobacco and alcohol."
B+,12.3,Epilepsy,"Take prescribed medications regularly. Avoid triggers like stress and lack of sleep."
B+,13.6,Diabetes,"Monitor blood sugar levels. Avoid sugary foods and exercise regularly."
B+,12.7,Tuberculosis,"Complete the prescribed antibiotic course. Maintain good hygiene and nutrition."
B+,11.8,Abnormal Bleeding Tendency,"Avoid blood-thinning medications. Include vitamin K-rich foods like spinach."
B+,13.1,Hepatitis B/C,"Avoid alcohol and fatty foods. Get vaccinated and follow medical advice."
B+,12.4,Allergic Disease,"Identify and avoid allergens. Use antihistamines as prescribed."
B+,14.1,Jaundice,"Stay hydrated and avoid fatty foods. Get adequate rest and follow medical advice."
B+,13.9,Sexually Transmitted Disease,"Practice safe sex and get regular check-ups. Follow prescribed treatments."
B+,12.9,Malaria,"Use mosquito nets and repellents. Take antimalarial medications as prescribed."
B+,13.3,Typhoid,"Drink clean water and maintain hygiene. Complete the antibiotic course."
B+,11.7,Fainting Spells,"Stay hydrated and avoid standing for long periods. Eat small, frequent meals."
B-,12.1,Heart Disease,"Avoid trans fats and processed foods. Exercise regularly and manage stress."
B-,13.4,Lung Disease,"Avoid smoking and secondhand smoke. Practice deep breathing exercises."
B-,11.6,Kidney Disease,"Limit potassium and phosphorus intake. Stay hydrated and avoid NSAIDs."
B-,14.3,Cancer/Malignant Disease,"Eat a diet rich in fruits and vegetables. Avoid processed meats."
B-,12.4,Epilepsy,"Take medications as prescribed. Avoid flashing lights and stress."
B-,13.1,Diabetes,"Monitor blood sugar levels. Avoid refined carbs and exercise regularly."
B-,12.2,Tuberculosis,"Complete the antibiotic course. Maintain good hygiene and nutrition."
B-,11.9,Abnormal Bleeding Tendency,"Avoid blood-thinning medications. Include vitamin K-rich foods."
B-,13.0,Hepatitis B/C,"Avoid alcohol and fatty foods. Follow medical advice and get vaccinated."
B-,12.3,Allergic Disease,"Identify and avoid allergens. Use antihistamines as prescribed."
B-,13.8,Jaundice,"Stay hydrated and avoid fatty foods. Get adequate rest and follow medical advice."
B-,13.2,Sexually Transmitted Disease,"Practice safe sex and get regular check-ups. Follow prescribed treatments."
B-,12.5,Malaria,"Use mosquito nets and repellents. Take antimalarial medications as prescribed."
B-,13.5,Typhoid,"Drink clean water and maintain hygiene. Complete the antibiotic course."
B-,11.8,Fainting Spells,"Stay hydrated and avoid standing for long periods. Eat small, frequent meals."
AB+,12.9,Heart Disease,"Avoid saturated fats and cholesterol. Exercise regularly and monitor blood pressure."
AB+,13.3,Lung Disease,"Avoid smoking and air pollution. Practice breathing exercises and stay hydrated."
AB+,12.0,Kidney Disease,"Limit salt and protein intake. Stay hydrated and avoid NSAIDs."
AB+,14.6,Cancer/Malignant Disease,"Maintain a healthy diet rich in antioxidants. Avoid tobacco and alcohol."
AB+,12.5,Epilepsy,"Take prescribed medications regularly. Avoid triggers like stress and lack of sleep."
